player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur
Burgui,Alavés,23.0,"FW,MF",1037.0,1.0,1.0,,1.8
Raphaël Varane,Real Madrid,24.0,DF,2320.0,0.0,1.0,,70.0
Rubén Duarte,Alavés,21.0,DF,2138.0,0.0,2.0,,2.0
Samuel Umtiti,Barcelona,23.0,DF,2189.0,1.0,0.0,,60.0
Manu García,Alavés,31.0,MF,2438.0,3.0,0.0,,1.8
Ibai Gómez,Alavés,27.0,"MF,FW",2315.0,7.0,6.0,,3.5
John Guidetti,Alavés,25.0,FW,1210.0,3.0,2.0,,5.0
Munir El Haddadi,Alavés,21.0,FW,2436.0,10.0,6.0,,12.0
Héctor Hernández,Alavés,26.0,MF,16.0,0.0,0.0,,0.03
Aleksandar Katai,Alavés,26.0,"FW,MF",57.0,0.0,0.0,,1.25
Mats Hummels,Bayern Munich,28.0,DF,2213.0,1.0,1.0,,60.0
Kalidou Koulibaly,Napoli,26.0,DF,3066.0,5.0,1.0,,60.0
Paul Pogba,Manchester Utd,24.0,MF,2148.0,6.0,10.0,,90.0
Fernando Pacheco,Alavés,25.0,GK,3360.0,0.0,0.0,,9.0
Alfonso Pedraza,Alavés,21.0,"MF,DF",2440.0,3.0,5.0,,5.0
Hernán Pérez,Alavés,28.0,"MF,FW",375.0,0.0,0.0,,1.2
Óscar Romero,Alavés,25.0,"MF,FW",253.0,0.0,0.0,,4.0
Christian Santos,Alavés,29.0,FW,438.0,2.0,0.0,,1.0
Antonio Sivera,Alavés,20.0,GK,60.0,0.0,0.0,,1.0
Rubén Sobrino,Alavés,25.0,"FW,MF",1474.0,3.0,3.0,,2.0
Carlos Vigaray,Alavés,22.0,"DF,MF",897.0,0.0,0.0,,0.08
Marquinhos,Paris S-G,23.0,DF,2262.0,0.0,1.0,,55.0
Aymeric Laporte,Athletic Club,23.0,DF,1710.0,0.0,0.0,,50.0
Sekou Baradji,Amiens,33.0,MF,7.0,0.0,0.0,,0.02
Mathieu Bodmer,Amiens,34.0,"DF,MF",397.0,1.0,0.0,,0.05
Jean-Christophe Bouet,Amiens,34.0,GK,90.0,0.0,0.0,,0.02
Emmanuel Bourgaud,Amiens,29.0,"MF,FW",543.0,0.0,1.0,,0.06
Charly Charrier,Amiens,31.0,MF,105.0,0.0,0.0,,0.05
Issa Cissokho,Amiens,32.0,DF,1630.0,0.0,0.0,,0.05
Quentin Cornette,Amiens,23.0,"FW,MF",446.0,1.0,1.0,,0.03
Gerard Piqué,Barcelona,30.0,DF,2631.0,2.0,0.0,,50.0
Jean-Luc Dompé,Amiens,21.0,MF,29.0,0.0,0.0,,0.075
Toni Kroos,Real Madrid,27.0,MF,2261.0,5.0,5.0,,80.0
Serge Gakpé,Amiens,30.0,"FW,MF",1853.0,3.0,1.0,,0.09
Georges Gope-Fenepej,Amiens,28.0,"MF,FW",47.0,0.0,0.0,,0.03
Régis Gurtner,Amiens,30.0,GK,3330.0,0.0,0.0,,3.0
Oualid El Hajjam,Amiens,26.0,DF,2198.0,1.0,1.0,,1.0
Julien Ielsch,Amiens,34.0,"MF,DF",617.0,0.0,0.0,,0.025
Gaël Kakuta,Amiens,26.0,"MF,FW",3084.0,6.0,4.0,,6.0
Moussa Konaté,Amiens,24.0,FW,2472.0,13.0,1.0,,6.0
Brighton Labeau,Amiens,21.0,FW,23.0,0.0,0.0,,0.015
Harrison Manzala,Amiens,23.0,"FW,MF",1864.0,4.0,3.0,,1.5
Stiven Mendoza,Amiens,25.0,"FW,MF",1032.0,2.0,0.0,,1.25
Thomas Monconduit,Amiens,26.0,MF,2948.0,1.0,3.0,,3.0
Nathan,Amiens,21.0,MF,10.0,0.0,0.0,,1.0
Koke,Atlético Madrid,25.0,"MF,FW",2753.0,4.0,3.0,,70.0
Yoann Andreu,Angers,28.0,DF,2070.0,1.0,2.0,,1.75
