player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur,predicted_value_million_eur,value_diff,valuation_label
Burgui,Alavés,23.0,"FW,MF",1037.0,1.0,1.0,,1.8,2.528999999999995,0.728999999999995,fair
Raphaël Varane,Real Madrid,24.0,DF,2320.0,0.0,1.0,,70.0,62.166666666666664,-7.833333333333336,overvalued
Rubén Duarte,Alavés,21.0,DF,2138.0,0.0,2.0,,2.0,3.7283333333333335,1.7283333333333335,undervalued
Samuel Umtiti,Barcelona,23.0,DF,2189.0,1.0,0.0,,60.0,55.01193333333334,-4.988066666666661,overvalued
Manu García,Alavés,31.0,MF,2438.0,3.0,0.0,,1.8,2.2492943333333324,0.44929433333333235,fair
Ibai Gómez,Alavés,27.0,"MF,FW",2315.0,7.0,6.0,,3.5,6.421333333333334,2.921333333333334,undervalued
John Guidetti,Alavés,25.0,FW,1210.0,3.0,2.0,,5.0,4.794583333333333,-0.20541666666666725,fair
Munir El Haddadi,Alavés,21.0,FW,2436.0,10.0,6.0,,12.0,22.05666666666667,10.056666666666668,undervalued
Héctor Hernández,Alavés,26.0,MF,16.0,0.0,0.0,,0.03,0.8589750000000004,0.8289750000000004,fair
Aleksandar Katai,Alavés,26.0,"FW,MF",57.0,0.0,0.0,,1.25,1.169977,-0.08002299999999996,fair
Mats Hummels,Bayern Munich,28.0,DF,2213.0,1.0,1.0,,60.0,50.7211,-9.2789,overvalued
Kalidou Koulibaly,Napoli,26.0,DF,3066.0,5.0,1.0,,60.0,52.486666666666665,-7.513333333333335,overvalued
Paul Pogba,Manchester Utd,24.0,MF,2148.0,6.0,10.0,,90.0,71.89166666666667,-18.108333333333334,overvalued
Fernando Pacheco,Alavés,25.0,GK,3360.0,0.0,0.0,,9.0,10.213333333333333,1.213333333333333,fair
Alfonso Pedraza,Alavés,21.0,"MF,DF",2440.0,3.0,5.0,,5.0,19.626666666666665,14.626666666666665,undervalued
Hernán Pérez,Alavés,28.0,"MF,FW",375.0,0.0,0.0,,1.2,1.8685603333333336,0.6685603333333336,fair
Óscar Romero,Alavés,25.0,"MF,FW",253.0,0.0,0.0,,4.0,2.8865083333333335,-1.1134916666666665,fair
Christian Santos,Alavés,29.0,FW,438.0,2.0,0.0,,1.0,3.565649999999999,2.565649999999999,undervalued
Antonio Sivera,Alavés,20.0,GK,60.0,0.0,0.0,,1.0,0.7243368333333332,-0.2756631666666668,fair
Rubén Sobrino,Alavés,25.0,"FW,MF",1474.0,3.0,3.0,,2.0,5.938299999999999,3.938299999999999,undervalued
Carlos Vigaray,Alavés,22.0,"DF,MF",897.0,0.0,0.0,,0.08,0.697666666666669,0.617666666666669,fair
Marquinhos,Paris S-G,23.0,DF,2262.0,0.0,1.0,,55.0,46.06493333333333,-8.935066666666671,overvalued
Aymeric Laporte,Athletic Club,23.0,DF,1710.0,0.0,0.0,,50.0,35.3378,-14.662199999999999,overvalued
Sekou Baradji,Amiens,33.0,MF,7.0,0.0,0.0,,0.02,0.46358333333333274,0.4435833333333327,fair
Mathieu Bodmer,Amiens,34.0,"DF,MF",397.0,1.0,0.0,,0.05,0.28373833333333254,0.23373833333333255,fair
Jean-Christophe Bouet,Amiens,34.0,GK,90.0,0.0,0.0,,0.02,0.07692999999999965,0.05692999999999965,fair
Emmanuel Bourgaud,Amiens,29.0,"MF,FW",543.0,0.0,1.0,,0.06,0.8107370000000009,0.7507370000000009,fair
Charly Charrier,Amiens,31.0,MF,105.0,0.0,0.0,,0.05,0.4324166666666655,0.3824166666666655,fair
